浙江大学,程鹏,控制理论与控制工程,浙江大学
浙江大学,贺永,机械制造及其自动化,浙江大学
浙江大学,吕朝锋,固体力学,浙江大学
浙江大学,史炳锋,有机化学,浙江大学
浙江大学,王迪,免疫学,浙江大学
浙江大学,王俊,外国哲学,浙江大学
浙江大学,韦路,新闻学,浙江大学
浙江大学,杨景华,蔬菜学,浙江大学
浙江大学,杨翼,管理科学与工程,浙江大学
浙江大学,岳文泽,土地资源管理学,浙江大学
浙江大学,张海涛,药理学,浙江大学
浙江大学,赵骏,国际法学(含国际公法学、国际私法学、国际经济法学),浙江大学
浙江农林大学,孙庆丰,木材科学与技术,浙江农林大学
中国地质大学（武汉）,袁松虎,水文地质学,中国地质大学（武汉）
中国地质大学（武汉）,左仁广,矿产普查与勘探,中国地质大学（武汉）
中国科学技术大学,张文逸,电磁场与微波技术,中国科学技术大学
中国科学院大学,邓祥征,土地资源管理学,中国科学院大学
中国科学院大学,刘翟,病原生物学,中国科学院大学
中国科学院大学,孙飞,生物物理学,中国科学院大学
中国科学院大学,周雯,基础心理学,中国科学院大学
中国矿业大学,翟成,安全科学与工程,中国矿业大学
中国矿业大学（北京）,左建平,采矿工程,中国矿业大学（北京）
中国农业大学,李思恩,农业水土工程,中国农业大学
中国农业大学,马曦,动物营养与饲料科学,中国农业大学
中国人民大学,冯仕政,社会学,中国人民大学
中国人民大学,胡百精,传播学,中国人民大学
中国人民大学,陆方文,西方经济学,中国人民大学
中国人民大学,吕冰洋,财政学（含税收学）,中国人民大学
中国人民大学,王亚培,高分子化学与物理,中国人民大学
中国人民大学,徐晓旭,世界古代中世纪史,中国人民大学
中国人民大学,张威,原子与分子物理,中国人民大学
中国人民大学,竺效,环境与资源保护法学,中国人民大学
中国石油大学（北京）,王玮,油气储运工程,中国石油大学（北京）
中国石油大学（华东）,蒋文春,化工过程机械,中国石油大学（华东）
中国石油大学（华东）,宗兆云,固体地球物理学,中国石油大学（华东）
中国政法大学,费多益,科学技术哲学,中国政法大学
中南大学,胡俊,大地测量学与测量工程,中南大学
中南大学,纪效波,冶金物理化学,中南大学
中山大学,黄盛丰,生物化学与分子生物学,中山大学
中山大学,梁玉成,社会学,中山大学
中山大学,孟凡刚,环境工程,中山大学
中山大学,苏士成,外科学（普外）,中山大学
中山大学,杨子晖,金融学（含保险学）,中山大学
中山大学,张均,中国现当代文学,中山大学
中山大学,张鹏,动物学,中山大学
中山大学,张志安,新闻学,中山大学
中央财经大学,冯秀军,思想政治教育,中央财经大学
